city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Quirihue,-36.2833,-72.5333,Chile,CL,Ñuble,,12562,12562
Codegua,-34.0347,-70.6686,Chile,CL,Libertador General Bernardo O’Higgins,,12495,12495
Quinta de Tilcoco,-34.3547,-70.9636,Chile,CL,Libertador General Bernardo O’Higgins,,12379,12379
Rinconada de Malloa,-34.4464,-70.9458,Chile,CL,Libertador General Bernardo O’Higgins,,12342,12342
Galvarino,-38.4000,-72.7833,Chile,CL,Araucanía,,11996,11996
Palmilla,-34.6042,-71.3583,Chile,CL,Libertador General Bernardo O’Higgins,,11844,11844
Lumaco,-38.1500,-72.9167,Chile,CL,Araucanía,,11405,11405
El Quisco,-33.3913,-71.6929,Chile,CL,Valparaíso,,11329,11329
Nueva Toltén,-39.1786,-73.1656,Chile,CL,Araucanía,,11216,11216
Panguipulli,-39.6444,-72.3306,Chile,CL,Araucanía,,11091,11091
Andacollo,-30.2303,-71.0858,Chile,CL,Coquimbo,,11044,11044
Chicureo Abajo,-33.2833,-70.6333,Chile,CL,Región Metropolitana,,10975,10975
Punitaqui,-30.9000,-71.2667,Chile,CL,Coquimbo,,10956,10956
Yungay,-37.1194,-72.0189,Chile,CL,Ñuble,,10884,10884
Peralillo,-34.4875,-71.4917,Chile,CL,Libertador General Bernardo O’Higgins,,10682,10682
Pinto,-36.7000,-71.9000,Chile,CL,Ñuble,,10595,10595
Cholchol,-38.6000,-72.8333,Chile,CL,Araucanía,,10382,10382
María Pinto,-33.5167,-71.1167,Chile,CL,Región Metropolitana,,10343,10343
Lonquimay,-38.4333,-71.2333,Chile,CL,Araucanía,,10251,10251
Algarrobo,-33.3911,-71.6928,Chile,CL,Valparaíso,,10217,10217
San Pablo,-40.4000,-73.0167,Chile,CL,Los Lagos,,10162,10162
Taltal,-25.4000,-70.4700,Chile,CL,Antofagasta,,10018,10018
Lago Ranco,-40.3167,-72.5000,Chile,CL,Los Ríos,,9896,9896
Renaico,-37.6667,-72.5833,Chile,CL,Araucanía,,9850,9850
San Pedro,-33.8944,-71.4558,Chile,CL,Región Metropolitana,,9726,9726
Huachipato,-36.7481,-73.0986,Chile,CL,Biobío,,9665,9665
Tirúa,-38.3414,-73.4911,Chile,CL,Biobío,,9644,9644
Rauco,-34.9167,-71.3167,Chile,CL,Maule,,9543,9543
Negrete,-37.5833,-72.5333,Chile,CL,Biobío,,9394,9394
Curepto,-35.0833,-72.0167,Chile,CL,Maule,,9380,9380
Hualañe,-34.9765,-71.8048,Chile,CL,Maule,,9303,9303
Pozo Almonte,-20.2667,-69.8000,Chile,CL,Tarapacá,minor,9277,9277
Mejillones,-23.1000,-70.4500,Chile,CL,Antofagasta,,9218,9218
Lo Miranda,-34.1900,-70.8900,Chile,CL,Libertador General Bernardo O’Higgins,,9000,9000
Puerto Octay,-40.9667,-72.9000,Chile,CL,Los Lagos,,8999,8999
Huasco,-28.4664,-71.2192,Chile,CL,Atacama,,8977,8977
Florida,-36.8167,-72.6667,Chile,CL,Biobío,,8916,8916
Lanco,-39.4500,-72.7833,Chile,CL,Araucanía,,8521,8521
Ercilla,-38.0500,-72.3833,Chile,CL,Araucanía,,8466,8466
Quemchi,-42.1500,-73.4894,Chile,CL,Los Lagos,,8405,8405
Ventanas,-32.7333,-71.4833,Chile,CL,Valparaíso,,8314,8314
Placilla,-34.6375,-71.1250,Chile,CL,Libertador General Bernardo O’Higgins,,8277,8277
Quinchao,-42.4708,-73.4917,Chile,CL,Los Lagos,,8088,8088
San Rafael,-35.3167,-71.5333,Chile,CL,Maule,,7964,7964
Pencahue,-35.4000,-71.8167,Chile,CL,Maule,,7924,7924
Pelarco,-35.3833,-71.4500,Chile,CL,Maule,,7632,7632
Curarrehue,-39.3500,-71.5833,Chile,CL,Araucanía,,7489,7489
Fresia,-41.1531,-73.4306,Chile,CL,Los Lagos,,7328,7328
Máfil,-39.6500,-72.9500,Chile,CL,Los Ríos,,7212,7212
Pelluhue,-35.8000,-72.5667,Chile,CL,Maule,,7202,7202
Los Sauces,-37.9667,-72.8333,Chile,CL,Araucanía,,7169,7169
Hanga Roa,-27.1333,-109.4167,Chile,CL,Valparaíso,minor,7163,7163
Dalcahue,-42.3793,-73.6472,Chile,CL,Los Lagos,,7120,7120
Marchihue,-34.3969,-71.6194,Chile,CL,Libertador General Bernardo O’Higgins,,6855,6855
Panquehue,-32.7711,-70.8367,Chile,CL,Valparaíso,,6837,6837
Coinco,-34.2606,-70.9483,Chile,CL,Libertador General Bernardo O’Higgins,,6709,6709
Licantén,-34.9833,-72.0000,Chile,CL,Maule,,6689,6689
Lolol,-34.7261,-71.6447,Chile,CL,Libertador General Bernardo O’Higgins,,6630,6630
Monte Águila,-37.0803,-72.4399,Chile,CL,Biobío,,6574,6574
Perquenco,-38.4167,-72.3833,Chile,CL,Araucanía,,6530,6530
Oficina María Elena,-22.3451,-69.6615,Chile,CL,Antofagasta,,6457,6457
Papudo,-32.5167,-71.4500,Chile,CL,Valparaíso,,6356,6356
Litueche,-34.1167,-71.7375,Chile,CL,Libertador General Bernardo O’Higgins,,6118,6118
Paredones,-34.6514,-71.8997,Chile,CL,Libertador General Bernardo O’Higgins,,6100,6100
Freirina,-28.5086,-71.0786,Chile,CL,Atacama,,6038,6038
Porvenir,-53.2833,-70.3667,Chile,CL,Magallanes y de la Antártica Chilena,minor,5992,5992
Ránquil,-36.6033,-72.5431,Chile,CL,Ñuble,,5762,5762
Chonchi,-42.6219,-73.7742,Chile,CL,Los Lagos,,5632,5632
Melipeuco,-38.8500,-71.7000,Chile,CL,Araucanía,,5590,5590
Contulmo,-38.0161,-73.2286,Chile,CL,Biobío,,5581,5581
San Pedro de Atacama,-22.9167,-68.2000,Chile,CL,Antofagasta,,5347,5347
Navidad,-33.9500,-71.8333,Chile,CL,Libertador General Bernardo O’Higgins,,5324,5324
Alto del Carmen,-28.7594,-70.4867,Chile,CL,Atacama,,5299,5299
Puchuncaví,-32.7333,-71.4167,Chile,CL,Valparaíso,,5271,5271
Ninhue,-36.3936,-72.3975,Chile,CL,Ñuble,,5268,5268
Treguaco,-36.4308,-72.6681,Chile,CL,Ñuble,,5227,5227
Chaitén,-42.9167,-72.7000,Chile,CL,Los Lagos,minor,5071,5071
Laraquete,-37.1667,-73.1833,Chile,CL,Biobío,,5014,5014
Portezuelo,-36.5333,-72.4333,Chile,CL,Ñuble,,4903,4903
Dichato,-36.5500,-72.9333,Chile,CL,Biobío,,4486,4486
Vichuquén,-34.8833,-72.0000,Chile,CL,Maule,,4335,4335
La Higuera,-29.5000,-71.2667,Chile,CL,Coquimbo,,4285,4285
Paiguano,-30.0167,-70.5333,Chile,CL,Coquimbo,,4256,4256
Empedrado,-35.6000,-72.2833,Chile,CL,Maule,,4253,4253
Pica,-20.4892,-69.3294,Chile,CL,Tarapacá,,4013,4013
Cochamó,-41.4942,-72.3067,Chile,CL,Los Lagos,,3908,3908
Antuco,-37.3303,-71.6733,Chile,CL,Biobío,,3862,3862
Quilaco,-37.6667,-71.9833,Chile,CL,Biobío,,3850,3850
Hornopirén,-41.9662,-72.4706,Chile,CL,Los Lagos,,3629,3629
Huara,-19.9833,-69.7833,Chile,CL,Tarapacá,,3510,3510
Corral,-39.8883,-73.4325,Chile,CL,Los Ríos,,3469,3469
Pumanque,-34.6000,-71.6667,Chile,CL,Libertador General Bernardo O’Higgins,,3421,3421
San Rosendo,-37.2633,-72.7242,Chile,CL,Biobío,,3398,3398
Entre Lagos,-40.6856,-72.6025,Chile,CL,Los Lagos,,3358,3358
La Estrella,-34.2047,-71.6542,Chile,CL,Libertador General Bernardo O’Higgins,,3327,3327
Nueva Braunau,-41.3248,-73.0829,Chile,CL,Los Lagos,,3290,3290
Achao,-42.4667,-73.5167,Chile,CL,Los Lagos,,3196,3196
Chile Chico,-46.5403,-71.7222,Chile,CL,Aysén,minor,3129,3129
Niebla,-39.8714,-73.3963,Chile,CL,Los Ríos,,2989,2989
Carelmapu,-41.7458,-73.7064,Chile,CL,Los Lagos,,2903,2903
Cochrane,-47.2547,-72.5750,Chile,CL,Aysén,minor,2789,2789
Curimón,-32.7861,-70.6842,Chile,CL,Valparaíso,,2648,2648
Malalhue,-39.5333,-72.5167,Chile,CL,Araucanía,,2566,2566
Puerto Cisnes,-44.7500,-72.7000,Chile,CL,Aysén,,2558,2558
Puerto Williams,-54.9333,-67.6167,Chile,CL,Magallanes y de la Antártica Chilena,minor,1646,1646
Putre,-18.2000,-69.5833,Chile,CL,Arica y Parinacota,minor,1366,1366
